degree distribution (probability density function of the degree in logarithmic bins) 
10.4339	0.138587
12.4476	0.0697184
14.9333	0.0622595
18.0727	0.0388696
20.8551	0.0207572
24.5224	0.0171593
28.2794	0.0148264
33	0.0109517
39.54	0.00790137
46.2286	0.00470873
50	0.000801746

degree distribution (degree-occurrences) 
10	0.137
11	0.105
12	0.079
13	0.064
14	0.056
15	0.048
16	0.046
17	0.031
18	0.04
19	0.039
20	0.028
21	0.023
22	0.018
23	0.016
24	0.017
25	0.017
26	0.017
27	0.019
28	0.022
29	0.016
30	0.011
31	0.015
32	0.012
33	0.008
34	0.012
35	0.006
36	0.006
37	0.005
38	0.008
39	0.012
40	0.012
41	0.006
42	0.007
43	0.001
44	0.004
45	0.009
46	0.005
47	0.006
48	0.008
49	0.002
50	0.007


--------------------------------------
community distribution (size-occurrences)
10	0.025
11	0.125
12	0.025
13	0.05
14	0.05
15	0.075
16	0.025
18	0.05
19	0.025
20	0.025
23	0.05
25	0.025
26	0.05
27	0.025
28	0.025
31	0.025
32	0.05
33	0.025
34	0.025
35	0.025
36	0.025
38	0.025
44	0.05
46	0.025
50	0.075


--------------------------------------
mixing parameter
0.4	0.002
0.416667	0.001
0.428571	0.003
0.444444	0.001
0.454545	0.057
0.465073	0.074
0.476719	0.064
0.486021	0.041
0.5	0.539
0.514268	0.045
0.524012	0.066
0.536046	0.056
0.545455	0.048
0.6	0.002
0.636364	0.001

--------------------------------------
